"Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly c 1 2 3"
"Frequency: Quarterly"
"Table: 34-10-0135-01 (formerly CANSIM 027-0008)"
"Release date: 2023-10-18"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Nova Scotia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Seasonal adjustment","Unadjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Housing estimates","Type of unit","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020"
,,"Units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Housing starts","Total units","956","917","1,142","904","323","679","1,236","818","352","1,517","1,348","608","559","987","1,069","1,152","754","1,149","1,200","881","840","1,173","1,684","1,089","878","1,289","1,307","1,245","961","711","1,684","1,509"
,"Single-detached","227","442","529","441","192","327","409","427","286","267","436","361","216","462","420","558","275","386","431","378","458","496","537","536","212","465","671","572","346","416","590","562"
,"Multiples","729","475","613","463","131","352","827","391","66","1,250","912","247","343","525","649","594","479","763","769","503","382","677","1,147","553","666","824","636","673","615","295","1,094","947"
,"Semi-detached","40","88","106","98","44","48","76","52","44","47","114","54","48","66","72","132","33","64","94","62","68","96","100","89","30","70","124","86","87","72","103","124"
,"Row","30","83","82","64","32","66","35","46","16","42","47","24","34","52","29","29","25","27","46","28","59","49","48","88","30","74","71","78","64","54","64","78"
,"Apartment and other unit type","659","304","425","301","55","238","716","293","6","1,161","751","169","261","407","548","433","421","672","629","413","255","532","999","376","606","680","441","509","464","169","927","745"
"Housing under construction","Total units","4,680","4,483","4,272","3,734","3,120","3,235","3,525","3,551","2,879","3,835","4,435","4,333","4,284","4,408","4,840","4,738","4,569","4,837","5,172","5,039","4,940","4,888","5,700","5,797","5,719","5,890","6,471","6,223","6,244","5,799","6,416","6,724"
,"Single-detached","978","995","1,117","963","650","677","779","839","731","636","786","782","670","788","888","1,025","852","842","926","927","990","1,032","1,062","1,129","853","928","1,198","1,185","1,033","1,024","1,143","1,190"
,"Multiples","3,702","3,488","3,155","2,771","2,470","2,558","2,746","2,712","2,148","3,199","3,649","3,551","3,614","3,620","3,952","3,713","3,717","3,995","4,246","4,112","3,950","3,856","4,638","4,668","4,866","4,962","5,273","5,038","5,211","4,775","5,273","5,534"
,"Semi-detached","198","202","204","202","166","136","152","148","130","117","182","172","155","147","150","216","175","185","183","203","192","216","206","218","142","141","183","186","189","175","207","244"
,"Row","247","267","262","255","224","255","240","245","185","155","175","166","134","162","162","157","119","112","106","106","147","161","156","180","192","195","208","225","243","233","218","234"
,"Apartment and other unit type","3,257","3,019","2,689","2,314","2,080","2,167","2,354","2,319","1,833","2,927","3,292","3,213","3,325","3,311","3,640","3,340","3,423","3,698","3,957","3,803","3,611","3,479","4,276","4,270","4,532","4,626","4,882","4,627","4,779","4,367","4,848","5,056"
"Housing completions","Total units","825","1,112","1,353","1,443","931","563","943","792","1,021","559","747","709","605","864","632","1,254","915","875","864","1,014","927","1,223","862","994","927","1,119","725","1,488","943","1,155","1,066","1,199"
,"Single-detached","548","421","407","595","500","299","305","369","394","358","287","364","326","342","317","418","445","389","346","377","390","452","501","466","475","391","400","585","498","425","470","513"
,"Multiples","277","691","946","848","431","264","638","423","627","201","460","345","279","522","315","836","470","486","518","637","537","771","361","528","452","728","325","903","445","730","596","686"
,"Semi-detached","60","82","104","100","80","78","60","54","60","62","47","64","64","74","67","68","72","58","96","42","78","72","110","76","104","72","82","82","85","86","71","87"
,"Row","17","63","86","72","62","35","50","41","67","64","27","33","70","30","29","34","59","31","56","28","19","35","65","71","24","83","58","57","57","64","79","62"
,"Apartment and other unit type","200","546","756","676","289","151","528","328","500","75","386","248","145","418","219","734","339","397","366","567","440","664","186","381","324","573","185","764","303","580","446","537"


"Table Corrections:"
Date,Note
"2023-11-20","Time series groups from CMHC's Starts and Completions Survey and Market Absorption Survey were temporarily removed due to a data error which impacted September 2023 and Q3 2023 series values. Impacted series have been corrected and reissued."



Footnotes:
1,"Geographical areas modified every 5 years to reflect most recent census definitions, therefore, data are not strictly comparable historically."
2,"These data are obtained from Canada Mortgage and Housing Corporation (CMHC) and are provided subject to <a href="https://www.cmhc-schl.gc.ca/en/data-and-research/cmhc-licence-agreement-use-of-data" rel="external noopener noreferrer" target="_blank"> CMHC Licence Agreement for the Use of Data (opens new window)</a>."
3,"For additional information and definitions, refer to <a href=" https://www03.cmhc-schl.gc.ca/hmip-pimh/en/TableMapChart/ScsMasMethodology" rel="external noopener noreferrer" target="_blank"> CMHC Starts and Completions Survey Methodology and Definitions (opens new window)</a>."



"How to cite: Statistics Canada. Table 34-10-0135-01  Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410013501
