Region,Region Type,Year,Net property taxes and payments in lieu of taxes,"Assessable Property Taxes (Net Of School Board Appropriations, corrections, housing deficits)",Grants In Lieu Of Taxes,Services Provided To Other Governments,Sales Of Services,Other Revenue From Own Sources,Unconditional Transfers From Other Governments,Conditional transfers from other governments,Conditional Transfers From Federal Or Provincial Governments Or Agencies,Conditional Transfers From Other Local Governments,Total Revenues,General Government Services,Protective Services,Transportation Services,Environmental Health Services,Public Health Services,Environmental Development Services,Recreation And Cultural Services,Extraordinary Or Special Items,Total Expenses,Operating surplus (deficit) before financing and transfers,TOTAL FINANCING AND TRANSFERS,ANNUAL SURPLUS (DEFICIT)
CBRM,Regional Municipality,2020-21,96029038,,6623957,794749,3383547,2792176,18837989,6085493,,,134546949,15052064,48538099,30468929,16909972,0,1046846,8843298,0,120859208,13687741,-13687741,0
HRM,Regional Municipality,2020-21,673795000,,40760000,0,42877000,32400000,12059000,63394000,,,865285000,113117000,226309000,189079000,44383000,0,30858000,90667000,14542527,708955527,156329473,-156329473,0
Region of Queens,Regional Municipality,2020-21,10003886,,315354,2013951,2714776,392660,2067038,335105,,,17842769,2371716,3566544,2300129,3290121,1501778,973311,1679877,0,15683475,2159294,-2159292,2
West Hants,Regional Municipality,2020-21,18435742,,248610,1134127,248536,736830,974424,123167,,,21901436,3612347,8673198,1904190,3160998,0,728877,1994847,0,20074457,1826979,-1117130,709849
Amherst,Town,2020-21,12773408,,298775,198300,329343,512556,1325118,532842,,,15970342,2464419,5815760,1856245,1361492,0,353269,1447210,0,13298395,2671947,-2671947,0
Annapolis Royal,Town,2020-21,1052511,,56903,0,83259,76302,485684,165969,,,1920628,324696,611157,168452,173326,5539,153787,117406,0,1554363,366265,-366265,0
Antigonish,Town,2020-21,5298910,,1104269,254710,147162,1499336,564920,0,,,8869307,924310,2216081,1148515,1200385,0,695250,546973,0,6731514,2137793,-2137793,0
Berwick,Town,2020-21,3172542,,6231,113686,301373,484912,241829,186994,,,4507567,1071701,904115,770317,557589,0,128865,361010,0,3793597,713970,-713970,0
Bridgewater,Town,2020-21,15978801,,770991,0,627548,431558,617827,1127992,,,19554717,2341969,5908798,2243686,2230696,95600,554335,2085647,0,15460731,4093986,-4093986,0
Clark's Harbour,Town,2020-21,926635,,33069,6793,0,81814,193386,58037,,,1299734,327843,232252,107362,310470,0,21186,148962,0,1148075,151659,-151659,0
Digby,Town,2020-21,3124579,,173329,191949,140311,113440,390043,4514,,,4138165,719324,1362200,546788,591009,0,61793,366284,0,3647398,490767,-490767,0
Kentville,Town,2020-21,8838885,,601299,212167,1494838,1000770,222798,444024,,,12814781,1795935,3414335,2027654,1732791,6500,630420,1298622,0,10906257,1908524,-1908524,0
Lockeport,Town,2020-21,971709,,15612,22937,831,63282,163530,60104,,,1298005,444248,209584,133788,188419,6174,35137,124238,0,1141588,156417,-156417,0
